index,donation,gender,age,edu,spouse,housing,nfamily,inc
229,120000,2,36,6,2,31,64,678
230,360000,1,47,6,2,31,64,678
231,240000,2,47,5,2,31,64,678
232,120000,1,44,7,2,31,63,678
233,200000,1,43,4,2,32,64,678
234,360000,1,42,5,2,31,64,678
235,360000,2,42,5,2,31,64,678
236,240000,2,43,5,2,31,63,660
237,240000,1,45,4,2,31,64,640
238,300000,1,37,5,2,31,62,650
239,120000,2,53,7,2,31,62,660
240,120000,2,59,5,2,31,63,650
241,50000,2,45,4,2,32,64,630
242,10000,1,24,5,1,33,61,630
243,20000,1,61,4,2,31,64,678
244,10000,2,55,6,2,31,64,678
245,120000,1,58,3,2,31,62,630
246,240000,1,42,5,2,31,64,678
247,240000,2,41,4,2,31,64,678
248,840000,2,47,5,2,31,63,678
249,100000,1,58,3,2,31,63,650
250,240000,1,46,4,2,31,64,678
251,240000,2,43,4,2,31,64,678
252,120000,2,64,3,2,31,64,678
253,240000,2,70,4,2,31,63,678
254,120000,1,39,5,1,31,63,678
255,100000,1,51,7,2,31,64,678
256,120000,2,45,4,2,31,64,678
257,120000,2,16,3,1,31,64,678
258,3000000,2,54,6,2,31,63,678
259,120000,1,69,2,2,31,62,640
260,120000,2,49,3,2,31,64,650
261,200000,2,24,5,1,31,64,650
262,120000,2,36,6,2,31,64,678
263,120000,2,47,3,2,31,64,620
264,240000,2,34,5,2,31,64,678
265,30000,1,48,4,2,32,64,678
266,120000,2,45,5,2,32,64,678
267,200000,1,39,5,2,32,63,678
268,1200000,1,43,5,1,31,63,630
269,1050000,1,39,4,1,33,61,630
270,100000,1,35,6,2,31,64,678
271,150000,2,32,6,2,31,64,678
272,125000,1,69,3,2,31,62,630
273,50000,1,44,5,2,31,63,660
274,1000000,2,40,3,2,31,63,660
275,10000,2,70,3,5,31,64,620
276,200000,1,64,3,2,31,63,678
277,30006,1,33,5,1,31,61,678
278,120000,2,31,5,2,32,62,650
279,360000,2,31,5,2,33,64,640
280,20000,2,13,2,1,33,62,620
281,240000,2,27,4,1,33,62,620
282,30000,1,44,4,2,31,63,660
283,120000,1,27,5,1,33,61,630
284,50000,2,41,4,2,32,63,650
285,30000,1,13,2,1,32,63,650
286,240000,1,56,5,2,35,64,678
287,360000,1,16,3,1,31,64,678
288,240000,1,51,4,2,31,63,660
289,290000,2,49,3,2,31,63,660
290,500000,1,56,5,2,31,62,678
291,2680000,2,56,6,2,31,62,678
292,1440000,2,62,4,2,31,63,640
293,840000,1,36,5,1,31,63,640
294,120000,2,46,5,2,31,63,650
295,10000,2,41,3,2,31,64,640
296,36000,1,23,3,1,31,62,640
297,500000,2,47,4,2,32,64,660
298,60000,1,14,2,1,32,64,660
299,60000,1,41,5,2,31,64,660
300,30000,2,40,5,2,31,64,660
301,240000,1,55,5,2,31,64,660
302,160000,2,52,5,2,31,64,660
303,240000,2,51,4,5,31,62,620
304,1200000,1,59,2,2,31,62,678
305,1200000,2,56,2,2,31,62,678
306,250000,1,56,3,2,31,63,630
307,720000,2,53,3,2,31,63,630
308,240000,1,50,3,2,31,62,678
309,240000,2,46,3,2,31,62,678
310,200000,1,73,6,2,31,62,678
311,20000,2,55,4,2,31,64,650
312,20000,1,62,1,2,31,62,660
313,130000,2,15,2,1,31,64,650
314,40000,1,59,3,2,31,62,678
315,600000,1,17,3,1,31,63,650
316,10000,2,16,3,1,33,64,620
317,360000,1,79,2,2,31,64,678
318,100000,1,85,3,5,31,62,640
319,40000,1,56,5,2,33,61,678
320,300000,2,60,6,2,31,62,678
321,240000,2,31,4,1,33,61,630
322,60000,1,76,2,2,31,62,620
323,240000,1,59,3,2,31,63,678
324,10000,2,44,4,2,31,64,678
325,120000,1,66,3,2,31,62,620
326,10000,2,23,5,1,31,64,678
327,360000,2,29,4,1,31,64,678
328,240000,2,15,3,1,31,64,678
329,120000,1,48,5,2,31,64,650
330,360000,2,47,5,2,31,64,650
331,120000,2,48,4,2,31,64,660
332,50000,2,52,3,2,31,64,650
333,100000,1,79,3,2,31,62,630
334,500000,2,79,3,2,31,62,630
335,100000,1,50,3,2,31,63,650
336,10000,2,37,5,2,31,63,630
337,360000,1,43,7,2,31,64,678
338,120000,1,55,5,2,31,64,678
339,1000000,1,52,5,2,31,63,678
340,480000,2,47,5,2,31,63,678
341,20000,1,55,5,2,31,63,678
342,500000,1,53,5,2,32,64,660
343,420000,2,50,6,2,32,64,660
344,300000,1,74,1,2,31,62,650
345,100000,1,73,2,2,31,61,620
346,240000,1,64,7,2,31,62,630
347,2000000,2,48,3,2,31,63,650
348,480000,2,51,4,2,31,64,678
349,50000,2,27,5,1,31,64,678
350,240000,1,57,5,2,31,62,678
351,75000,1,60,5,2,31,63,678
352,120000,2,58,5,2,31,63,678
353,120000,1,60,6,2,35,62,620
354,240000,2,61,6,2,35,62,620
355,50000,1,52,5,2,31,64,620
356,120000,2,43,4,2,31,64,640
357,20000,2,51,4,2,31,62,630
358,800000,2,53,5,2,34,64,678
359,30000,1,64,2,2,34,64,678
360,12000,1,29,5,1,35,62,660
361,100000,1,64,3,2,32,62,630
362,120000,1,73,2,2,31,62,640
363,20000,2,39,4,2,32,62,640
364,100000,2,43,4,1,33,61,610
365,100000,1,50,7,2,31,64,678
366,360000,2,50,5,2,31,64,678
367,360000,1,45,4,2,31,62,660
368,360000,2,44,4,1,31,63,630
369,300000,2,72,3,5,31,61,630
370,300000,1,75,2,2,31,62,630
371,10000,2,16,3,1,31,63,630
372,1000000,1,64,3,2,31,62,640
373,120000,1,65,3,2,33,62,630
374,120000,2,44,3,2,33,62,630
375,330000,2,36,4,2,31,64,660
376,360000,1,36,4,2,33,64,640
377,60000,2,35,3,2,33,64,640
378,2400000,1,49,5,2,31,62,650
379,360000,1,40,3,2,31,64,640
380,360000,1,44,5,2,31,64,678
381,360000,2,40,5,2,31,64,678
382,280000,2,46,5,2,32,63,660
383,360000,1,44,3,2,31,64,640
384,20000,2,63,3,1,33,61,610
385,10000,2,64,3,2,32,62,620
386,10000,1,53,3,5,33,62,630
387,360000,1,76,6,2,33,62,630
388,120000,2,60,4,5,33,61,630
389,120000,1,47,4,1,33,62,640
390,1200000,1,63,6,2,31,62,660
391,2400000,2,63,7,2,31,62,660
392,360000,1,63,3,2,31,62,650
393,120000,1,49,5,2,31,63,678
394,600000,2,57,3,2,31,62,630
395,600000,2,37,3,2,31,64,660
396,200000,2,60,1,2,31,62,610
397,240000,1,46,5,2,33,64,650
398,1500000,2,37,5,2,33,64,650
399,600000,2,45,6,2,31,64,678
400,2500000,1,49,6,2,31,64,660
401,360000,2,44,6,2,31,64,660
402,1200000,1,61,6,2,33,61,660
403,240000,1,64,4,2,35,62,630
404,920000,1,61,5,2,31,63,678
405,720000,1,33,5,1,31,63,678
406,120000,2,28,4,1,32,61,620
407,10000,2,29,5,1,32,62,660
408,20000,2,37,5,1,32,61,640
409,100000,2,48,3,4,32,61,640
410,120000,2,46,4,4,33,62,650
411,10000,2,46,4,2,31,63,678
412,100000,1,19,5,1,35,64,650
413,1000000,1,44,4,2,31,64,678
414,10000,2,41,4,2,31,63,650
415,840000,2,46,5,2,32,62,678
416,240000,2,38,3,5,31,62,620
417,150000,1,52,5,2,31,63,640
418,800000,2,42,3,2,31,61,650
419,150000,1,69,3,2,31,64,660
420,300000,1,65,5,2,31,64,678
421,100000,2,63,4,2,31,64,678
422,120000,2,55,6,2,31,62,640
423,500000,1,60,5,2,31,62,660
424,480000,2,59,4,2,31,64,660
425,360000,2,35,4,2,31,64,660
426,200000,1,59,4,2,34,62,610
427,540000,1,68,1,2,31,62,640
428,240000,2,37,5,2,32,64,660
429,500000,1,37,5,2,32,64,660
430,240000,1,58,5,2,31,62,678
431,240000,2,55,5,2,31,62,678
432,120000,2,38,3,3,33,61,640
433,120000,2,61,2,2,31,62,640
434,1000000,1,65,3,2,31,63,640
435,200000,1,60,3,2,31,62,640
436,240000,1,47,3,4,31,64,640
437,240000,1,66,1,2,31,62,660
438,200000,1,45,3,2,32,62,630
439,360000,1,61,5,2,31,62,630
440,480000,1,45,3,2,31,64,640
441,1800000,1,55,6,2,31,62,678
442,60000,2,65,5,2,33,62,640
443,360000,1,58,2,2,31,62,678
444,360000,2,58,3,2,31,62,678
445,180000,1,52,5,2,31,62,678
446,1600000,1,37,3,2,31,64,660
447,30000,2,34,4,2,31,64,650
448,120000,1,48,5,2,32,64,640
449,120000,2,48,5,2,32,64,640
450,120000,2,14,2,1,32,64,640
451,80000,1,35,4,1,31,61,640
452,50000,1,39,4,1,31,63,640
453,10000,2,72,1,2,31,62,620
454,120000,1,28,4,1,33,61,620
455,10000,1,65,3,2,31,62,630
456,10000,1,76,1,2,31,62,620
457,10000,1,47,3,2,31,64,660
458,50000,1,32,6,1,32,61,620
459,120000,1,51,3,2,31,64,630
460,30000,2,24,5,1,33,61,630
461,360000,2,49,3,2,31,62,640
462,70000,2,24,5,1,31,62,620
463,240000,2,47,4,2,32,64,660
464,480000,1,47,4,2,31,64,640
465,240000,1,41,4,2,31,64,650
466,120000,2,35,4,2,31,64,650
467,12000,2,48,3,5,34,61,620
468,360000,2,51,3,2,31,62,650
469,360000,2,45,5,2,31,63,640
470,200000,1,57,6,2,31,62,678
471,1200000,1,51,5,2,31,62,678
472,1200000,2,48,5,2,31,62,678
473,1200000,1,53,7,2,31,63,678
474,120000,2,53,5,2,31,63,678
475,120000,2,24,5,1,31,63,678
476,50000,2,37,6,2,31,64,678
477,120000,2,42,4,2,31,63,650
478,30000,1,55,5,2,31,62,678
479,240000,1,53,5,2,31,61,678
480,120000,1,54,5,2,31,61,678
481,120000,1,40,4,2,32,61,630
482,720000,2,45,5,2,31,64,660
483,160000,2,38,3,4,34,61,620
484,480000,2,49,4,2,31,62,640
485,25000,2,51,5,4,35,64,610
486,120000,2,61,3,2,31,62,630
487,240000,2,74,2,2,31,62,620
488,1080000,2,42,5,1,33,62,630
489,360000,1,55,5,2,32,64,650
490,1200000,1,50,5,2,31,63,678
491,10000,1,54,5,2,31,63,630
492,10000,2,39,4,2,31,64,640
493,360000,1,53,5,4,31,63,678
494,120000,2,43,4,3,32,61,650
495,240000,2,40,3,2,32,64,650
496,30000,2,66,2,5,32,64,650
497,360000,1,46,6,2,31,64,650
498,360000,2,42,5,2,31,64,650
499,120000,1,39,6,2,31,64,678
500,720000,2,56,3,2,31,63,678
501,10000,1,52,6,2,31,63,678
502,60000,2,18,5,1,31,63,678
503,10000,2,28,5,1,31,63,630
504,50000,1,77,3,2,31,62,620
505,50000,2,71,2,2,31,62,620
506,500000,2,57,4,2,31,63,660
507,300000,2,61,3,2,31,63,610
508,120000,1,58,4,4,33,61,640
509,240000,2,37,3,5,33,61,630
510,600000,1,49,5,2,31,61,678
511,300000,2,35,6,2,32,63,660
512,240000,2,29,5,2,32,62,660
513,1200000,1,25,4,1,32,64,678
514,120000,1,45,3,2,33,62,640
515,900000,1,61,4,2,33,61,678
516,50000,1,41,5,1,33,61,660
517,10000,2,32,5,1,33,62,610
518,30000,1,31,4,1,32,61,640
519,10000,1,51,7,2,35,64,640
520,250000,2,49,5,2,35,64,640
521,100000,1,38,6,2,32,63,678
522,240000,2,32,6,2,32,63,678
523,200000,1,32,5,1,33,61,650
524,360000,2,39,4,2,31,64,660
525,600000,1,44,4,2,31,64,660
526,240000,2,43,5,2,31,64,678
527,60000,1,40,4,2,31,63,650
528,60000,2,39,4,2,31,63,650
529,240000,2,50,3,2,31,62,678
530,120000,2,36,5,2,31,64,640
531,60000,2,48,3,2,31,64,660
532,360000,1,43,5,2,31,64,660
533,100000,2,63,3,2,32,62,678
534,360000,1,32,4,2,32,63,678
535,120000,2,46,5,2,31,64,678
536,84000,1,13,2,1,31,64,678
537,240000,2,59,6,2,31,63,678
538,120000,1,47,5,2,31,64,678
539,360000,2,45,5,2,31,64,678
540,480000,1,42,5,2,31,64,678
541,30000,2,43,5,2,31,64,678
542,30000,1,56,4,2,31,62,678
543,60000,1,54,3,2,31,63,678
544,200000,1,75,5,2,31,61,630
545,170000,2,44,4,2,31,64,640
546,10000,2,53,3,2,31,64,630
547,360000,2,43,3,2,33,64,650
548,24000,1,62,4,2,31,64,640
549,600000,1,51,5,2,31,63,640
550,600000,2,53,3,2,31,63,640
551,200000,2,50,5,2,32,64,650
552,600000,2,46,5,2,32,64,678
553,240000,1,39,6,2,32,62,678
554,240000,2,55,5,2,31,63,678
555,120000,1,27,5,1,31,63,678
556,600000,1,59,4,2,31,63,678
557,20000,1,50,4,2,31,64,678
558,300000,2,48,5,2,31,64,678
559,120000,1,45,5,2,31,64,660
560,360000,2,43,5,2,31,64,660
561,360000,2,35,6,1,31,64,660
562,2000000,1,47,5,2,31,64,650
563,120000,2,28,5,2,32,62,660
564,20000,2,51,5,1,32,61,630
565,240000,1,38,5,2,32,62,678
566,240000,2,29,5,2,32,62,678
567,20000,2,32,5,1,33,61,630
568,1000000,1,52,5,2,31,63,660
569,120000,1,46,3,2,31,63,650
570,20000,2,43,5,2,31,64,678
571,120000,2,52,5,2,31,64,678
572,480000,2,44,4,2,31,64,660
573,480000,1,48,5,4,35,61,650
574,20000,2,36,4,2,31,64,678
575,240000,1,50,4,2,31,63,630
576,360000,2,48,3,2,31,63,630
577,30000,2,27,5,1,31,63,678
578,50000,1,60,4,2,32,63,620
579,10000,1,16,3,1,31,64,678
580,100000,1,55,4,2,31,63,678
581,300000,2,51,3,2,31,63,678
582,500000,1,37,5,2,32,63,678
583,120000,1,47,5,2,31,64,678
584,480000,2,45,6,2,31,64,678
585,10000,2,16,3,1,31,64,678
586,600000,1,52,5,2,31,63,650
587,120000,2,46,6,2,31,63,650
588,48000,1,39,4,2,31,64,630
589,120000,2,47,5,2,31,63,678
590,100000,1,55,4,2,31,64,640
591,83000,2,49,3,2,31,64,640
592,140000,1,69,4,2,31,62,610
593,140000,2,63,3,2,31,62,610
594,40000,2,40,5,1,31,64,660
595,70000,1,48,3,2,31,64,630
596,240000,1,54,5,2,31,62,640
597,50000,2,26,5,1,33,61,630
598,1500000,1,34,6,2,32,63,678
599,30000,2,18,3,1,32,64,678
600,40000,2,17,3,1,32,64,678
601,60000,2,34,5,2,31,64,630
602,20000,1,44,7,2,32,64,678
603,720000,2,36,5,2,31,64,640
604,300000,1,52,6,2,31,63,678
605,600000,2,50,5,2,31,63,678
606,100000,1,45,5,2,31,64,640
607,480000,2,43,5,2,31,64,640
608,1000000,2,42,4,2,31,64,678
609,360000,2,16,3,1,31,64,678
610,240000,1,41,5,2,31,63,630
611,120000,1,59,5,2,31,62,650
612,120000,2,55,5,2,31,62,650
613,120000,1,44,7,2,31,64,678
614,120000,2,36,6,2,31,64,678
615,300000,1,51,7,2,31,63,678
616,100000,1,73,5,2,31,64,678
617,100000,2,71,5,2,31,64,678
618,120000,1,40,5,2,31,64,678
619,360000,1,44,4,2,32,64,678
620,420000,2,41,5,2,32,64,678
621,500000,2,49,3,2,32,63,640
622,10000,2,33,4,2,32,63,678
623,200000,1,61,4,2,32,63,630
624,120000,1,36,5,1,31,63,640
625,10000,2,14,2,1,31,64,650
626,500000,1,51,4,2,31,63,660
627,120000,2,46,5,2,31,63,660
628,120000,1,57,4,2,31,63,650
629,120000,2,57,4,2,31,63,650
630,360000,1,46,5,2,31,63,660
631,240000,2,45,5,2,31,63,660
632,50000,1,62,1,2,31,62,610
633,100000,1,31,4,2,32,64,640
634,120000,2,57,2,2,31,63,630
635,360000,1,45,5,2,31,64,678
636,1000000,2,41,5,2,31,64,678
637,240000,1,53,5,2,31,63,650
638,100000,1,58,7,1,31,61,678
639,240000,1,59,3,2,31,62,640
640,150000,2,38,5,1,31,63,630
641,10000,1,44,5,2,31,64,660
642,80000,2,55,4,2,31,64,640
643,80000,2,28,4,1,31,64,640
644,100000,2,46,3,1,31,62,630
645,30000,1,57,5,2,31,61,650
646,100000,1,49,5,2,31,63,650
647,100000,2,49,4,2,31,63,650
648,10000,2,61,3,4,32,61,630
649,240000,2,38,4,1,32,63,620
650,200000,1,55,4,2,31,63,650
651,240000,2,54,3,2,31,62,640
652,500000,1,45,5,2,31,61,678
653,240000,2,42,5,2,35,64,630
654,600000,2,41,4,2,31,64,660
655,240000,2,13,2,1,31,64,660
656,120000,2,67,2,2,35,62,610
657,600000,1,50,5,2,31,64,630
658,240000,2,45,6,2,31,64,630
659,360000,1,46,4,2,31,64,660
660,1200000,1,69,1,2,31,62,630
661,500000,1,44,4,2,31,63,650
662,240000,1,44,4,2,31,64,640
663,240000,1,65,4,2,35,64,630
664,120000,2,25,5,1,31,64,678
665,240000,2,61,3,2,31,63,640
666,660000,1,41,4,2,31,62,630
667,240000,1,56,3,2,31,62,678
668,2420000,1,67,3,2,31,62,678
669,80000,1,76,2,2,31,62,620
670,40000,2,61,3,2,32,64,630
671,15000,2,16,3,1,32,64,610
672,200000,2,46,5,2,33,64,650
673,120000,2,62,3,4,33,63,620
674,1200000,1,24,5,1,33,61,620
675,300000,1,76,1,2,31,62,630
676,60000,1,61,4,2,31,62,630
677,120000,1,61,4,2,31,62,630
678,240000,2,61,3,2,31,62,630
679,150000,1,67,4,2,31,62,610
680,540000,2,43,4,2,31,64,678
681,120000,2,47,3,2,31,62,650
682,600000,2,48,4,2,31,63,660
683,120000,2,42,5,5,31,64,640
684,300000,1,64,2,2,31,63,650
685,10000,2,35,5,2,31,63,650
686,240000,2,59,4,2,31,62,630
687,400000,2,66,3,2,31,62,620
688,240000,2,28,4,1,33,61,620
689,240000,2,38,4,1,33,61,610
690,120000,2,72,1,2,31,62,640
691,30000,1,76,5,2,31,63,640
692,300000,1,36,4,1,33,61,678
693,840000,1,51,4,1,33,61,630
694,960000,2,49,3,2,33,62,650
695,50000,2,27,4,1,33,62,650
696,1800000,1,75,6,2,31,62,630
697,300000,1,53,5,2,35,61,678
698,1200000,2,55,3,2,31,63,630
699,500000,1,63,4,5,31,61,630
700,60000,1,69,3,2,31,64,620
701,120000,2,42,6,2,32,64,660
702,300000,1,57,5,2,32,64,630
703,36000,2,33,6,2,32,64,660
704,300000,2,77,2,5,31,61,620
705,210000,1,41,4,1,32,61,630
706,30000,1,72,2,5,34,61,620
707,50000,1,54,3,2,31,63,640
708,100000,2,51,3,2,31,63,640
709,1000000,2,58,5,2,31,63,678
710,120000,1,43,4,2,31,61,650
711,200000,2,39,4,2,31,64,650
712,300000,1,52,7,2,35,62,620
713,10000,1,54,3,4,31,61,620
714,10000,1,59,3,2,31,62,650
715,30000,1,60,3,2,31,64,678
716,120000,1,56,4,2,31,63,678
717,30000,2,31,5,2,31,63,640
718,60000,2,39,4,2,31,64,660
719,2000000,1,49,7,2,33,64,678
720,120000,2,50,6,2,33,64,678
721,240000,1,52,4,2,31,64,678
722,240000,2,53,5,2,31,64,678
723,1000000,1,64,3,2,31,62,630
724,360000,2,54,7,2,31,63,678
725,3000,1,16,3,1,31,63,678
726,50000,1,69,5,2,31,62,640
727,240000,1,38,5,1,31,63,620
728,120000,1,59,4,2,31,62,660
729,240000,2,72,2,5,31,61,610
730,36000,1,25,3,1,31,62,610
731,40000,1,66,4,2,31,62,650
